city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,property_type
Reno,NV,39.518986,-119.89732,89523,315000,2,2,CONDO
Reno,NV,39.518986,-119.89732,89523,339500,2,2,CONDO
Reno,NV,39.452396,-119.77727,89511,219900,1,1,CONDO
Zephyr Cove,NV,38.97756,-119.93162,89448,1200000,4,4,CONDO
Zephyr Cove,NV,38.997154,-119.9541,89448,1350000,3,3,CONDO
Reno,NV,39.45573,-119.77215,89511,415000,3,3,CONDO
Reno,NV,,,89511,240000,1,1,CONDO
Reno,NV,39.453022,-119.77419,89511,215000,1,1,CONDO
Reno,NV,,,89511,1000000,2,3,CONDO
Reno,NV,39.457207,-119.77167,89511,379000,3,3,CONDO
Incline Village,NV,39.252956,-119.93279,89451,2195000,3,4,CONDO
Incline Village,NV,39.249,-119.95846,89451,1395000,4,4,CONDO
Incline Village,NV,39.252956,-119.93279,89451,950000,2,2,CONDO
Incline Village,NV,39.244125,-119.95307,89451,1190000,3,2,CONDO
Incline Village,NV,39.24894,-119.98484,89451,3950000,3,2,CONDO
Incline Village,NV,39.272724,-119.94795,89451,1370000,4,4,CONDO
Incline Village,NV,39.245995,-119.93497,89451,900000,3,3,CONDO
Incline Village,NV,,,89451,1175000,4,3,CONDO
Incline Village,NV,39.24691,-119.93302,89451,700000,1,2,CONDO
Incline Village,NV,39.242188,-119.94996,89451,1250000,3,2,CONDO
Incline Village,NV,39.25095,-119.94553,89451,1900000,3,3,CONDO
Incline Village,NV,39.24691,-119.93302,89451,680000,1,2,CONDO
Incline Village,NV,39.253185,-119.95627,89451,1600000,3,3,CONDO
Incline Village,NV,39.24691,-119.93302,89451,655000,1,2,CONDO
Incline Village,NV,39.253185,-119.95627,89451,960000,3,3,CONDO
Incline Village,NV,39.25095,-119.94553,89451,1749000,2,2,CONDO
Incline Village,NV,39.245094,-119.94895,89451,1100000,2,2,CONDO
Incline Village,NV,39.24633,-119.95855,89451,879000,3,2,CONDO
Incline Village,NV,39.25095,-119.94553,89451,2500000,4,5,CONDO
Incline Village,NV,39.24535,-119.94828,89451,1150000,2,2,CONDO
Incline Village,NV,39.25095,-119.94553,89451,1900000,3,3,CONDO
Incline Village,NV,39.24691,-119.93302,89451,675000,1,2,CONDO
Incline Village,NV,39.249302,-119.96124,89451,760000,2,2,CONDO
Incline Village,NV,39.25095,-119.94553,89451,2950000,4,4,CONDO
Incline Village,NV,39.246418,-119.95104,89451,1195000,2,2,CONDO
Incline Village,NV,39.245995,-119.93497,89451,945000,3,3,CONDO
Incline Village,NV,39.248867,-119.947014,89451,3900000,4,4,CONDO
Incline Village,NV,39.248867,-119.947014,89451,3450000,3,3,CONDO
Incline Village,NV,,,89451,1450000,4,2,CONDO
Incline Village,NV,39.248436,-119.955574,89451,397000,1,1,CONDO
Sparks,NV,39.542534,-119.76277,89431,269900,2,2,CONDO
Sparks,NV,39.54334,-119.73097,89434,280000,2,1,CONDO
Sparks,NV,39.538578,-119.73714,89431,214000,2,1,CONDO
Sparks,NV,39.55411,-119.71828,89434,267500,2,2,CONDO
Sparks,NV,39.55868,-119.7326,89434,218900,1,1,CONDO
Sparks,NV,39.55238,-119.76643,89431,310000,2,2,CONDO
Sparks,NV,39.539005,-119.735825,89431,256000,2,1,CONDO
Sparks,NV,39.542294,-119.732346,89434,315000,2,1,CONDO
Sparks,NV,39.542294,-119.762764,89431,275000,2,2,CONDO
Sparks,NV,39.55751,-119.73284,89434,275000,2,2,CONDO
Reno,NV,39.453022,-119.77419,89511,240000,1,1,CONDO
Reno,NV,39.39679,-119.76469,89511,375000,1,1,CONDO
